track_id,condition,split
C1407,control,train
C327,control,train
C1465,control,train
C1458,control,train
C1979,control,train
C1154,control,train
C1001,control,train
C384,control,train
C766,control,train
C1433,control,train
C1708,control,train
C1785,control,train
C248,control,train
C118,control,train
C1705,control,train
C1126,control,train
C1251,control,train
C1135,control,train
C593,control,train
C141,control,train
C1365,control,train
C560,control,train
C238,control,train
C969,control,train
C1033,control,train
C852,control,train
C1958,control,train
C181,control,train
C1298,control,train
C483,control,train
C08,control,train
C1380,control,train
C466,control,train
C1335,control,train
C434,control,train
C772,control,train
C396,control,train
C1828,control,train
C18,control,train
C01,control,train
C1542,control,train
C595,control,train
C761,control,train
C1307,control,train
C1213,control,train
C960,control,train
C166,control,train
C667,control,train
C1999,control,train
C1547,control,train
C1022,control,train
C873,control,train
C1800,control,train
C998,control,train
C169,control,train
C1432,control,train
C451,control,train
C1583,control,train
C1526,control,train
C1290,control,train
C1232,control,train
C775,control,train
C970,control,train
C1545,control,train
C1644,control,train
C986,control,train
C365,control,train
C152,control,train
C925,control,train
C773,control,train
C1216,control,train
C616,control,train
C1786,control,train
C1881,control,train
C1491,control,train
C1844,control,train
C289,control,train
C1392,control,train
C386,control,train
C1783,control,train
C887,control,train
C1317,control,train
C750,control,train
C429,control,train
C856,control,train
C1843,control,train
C764,control,train
C724,control,train
C1529,control,train
C197,control,train
C1688,control,train
C1096,control,train
C1798,control,train
C458,control,train
C538,control,train
C993,control,train
C626,control,train
C1258,control,train
C1076,control,train
C203,control,train
C501,control,train
C1902,control,train
C1921,control,train
C106,control,train
C1624,control,train
C1086,control,train
C568,control,train
C1308,control,train
C1744,control,train
C361,control,train
C937,control,train
C504,control,train
C1674,control,train
C1567,control,train
C82,control,train
C1861,control,train
C1081,control,train
C743,control,train
C1945,control,train
C1967,control,train
C17,control,train
C193,control,train
C1642,control,train
C842,control,train
C1645,control,train
C400,control,train
C440,control,train
C202,control,train
C366,control,train
C195,control,train
C1869,control,train
C1879,control,train
C1682,control,train
C1445,control,train
C1932,control,train
C1038,control,train
C1677,control,train
C1021,control,train
C776,control,train
C497,control,train
C1668,control,train
C1903,control,train
C253,control,train
C288,control,train
C432,control,train
C1218,control,train
C1648,control,train
C1261,control,train
C393,control,train
C130,control,train
C806,control,train
C543,control,train
C53,control,train
C849,control,train
C1519,control,train
C1655,control,train
C1246,control,train
C1273,control,train
C1709,control,train
C31,control,train
C1884,control,train
C614,control,train
C1485,control,train
C787,control,train
C1088,control,train
C1830,control,train
C372,control,train
C256,control,train
C897,control,train
C480,control,train
C435,control,train
C1166,control,train
C387,control,train
C994,control,train
C909,control,train
C178,control,train
C390,control,train
C1649,control,train
C1153,control,train
C924,control,train
C1534,control,train
C618,control,train
C786,control,train
C107,control,train
C1634,control,train
C1150,control,train
C1559,control,train
C1102,control,train
C506,control,train
C727,control,train
C1195,control,train
C1340,control,train
C701,control,train
C621,control,train
C298,control,train
C1516,control,train
C1985,control,train
C1840,control,train
C1384,control,train
C1245,control,train
C375,control,train
C268,control,train
C1192,control,train
C950,control,train
C1654,control,train
C545,control,train
C1366,control,train
C1875,control,train
C1524,control,train
C120,control,train
C302,control,train
C1358,control,train
C44,control,train
C1302,control,train
C1052,control,train
C52,control,train
C800,control,train
C1796,control,train
C1731,control,train
C427,control,train
C757,control,train
C1918,control,train
C642,control,train
C918,control,train
C1717,control,train
C492,control,train
C322,control,train
C961,control,train
C1558,control,train
C1851,control,train
C977,control,train
C1279,control,train
C370,control,train
C1296,control,train
C1683,control,train
C57,control,train
C1769,control,train
C418,control,train
C260,control,train
C931,control,train
C679,control,train
C1619,control,train
C215,control,train
C1815,control,train
C51,control,train
C56,control,train
C1912,control,train
C1414,control,train
C1037,control,train
C552,control,train
C326,control,train
C710,control,train
C1250,control,train
C657,control,train
C1418,control,train
C985,control,train
C678,control,train
C439,control,train
C1910,control,train
C453,control,train
C1922,control,train
C224,control,train
C966,control,train
C827,control,train
C1278,control,train
C1281,control,train
C819,control,train
C1305,control,train
C1333,control,train
C207,control,train
C777,control,train
C1719,control,train
C488,control,train
C433,control,train
C1724,control,train
C1125,control,train
C1000,control,train
C677,control,train
C1917,control,train
C37,control,train
C778,control,train
C1522,control,train
C1105,control,train
C646,control,train
C212,control,train
C1520,control,train
C135,control,train
C1348,control,train
C1158,control,train
C1144,control,train
C91,control,train
C752,control,train
C63,control,train
C448,control,train
C100,control,train
C116,control,train
C1986,control,train
C486,control,train
C1776,control,train
C1477,control,train
C1574,control,train
C1546,control,train
C1686,control,train
C641,control,train
C952,control,train
C1040,control,train
C105,control,train
C40,control,train
C796,control,train
C1573,control,train
C493,control,train
C1004,control,train
C1399,control,train
C465,control,train
C81,control,train
C1356,control,train
C1739,control,train
C1517,control,train
C86,control,train
C973,control,train
C163,control,train
C1982,control,train
C1187,control,train
C1248,control,train
C1829,control,train
C1781,control,train
C48,control,train
C442,control,train
C719,control,train
C311,control,train
C496,control,train
C251,control,train
C1808,control,train
C590,control,train
C862,control,train
C1679,control,train
C1836,control,train
C1338,control,train
C1170,control,train
C1956,control,train
C292,control,train
C1643,control,train
C420,control,train
C542,control,train
C1064,control,train
C1416,control,train
C1211,control,train
C46,control,train
C1110,control,train
C1046,control,train
C184,control,train
C1797,control,train
C1123,control,train
C345,control,train
C1182,control,train
C859,control,train
C1756,control,train
C1826,control,train
C1928,control,train
C1134,control,train
C101,control,train
C398,control,train
C1845,control,train
C995,control,train
C399,control,train
C129,control,train
C799,control,train
C1238,control,train
C511,control,train
C1898,control,train
C848,control,train
C654,control,train
C814,control,train
C1257,control,train
C1496,control,train
C1629,control,train
C1864,control,train
C236,control,train
C1510,control,train
C1605,control,train
C1893,control,train
C477,control,train
C1623,control,train
C664,control,train
C721,control,train
C227,control,train
C450,control,train
C1834,control,train
C06,control,train
C1882,control,train
C500,control,train
C683,control,train
C903,control,train
C1867,control,train
C1991,control,train
C705,control,train
C471,control,train
C128,control,train
C533,control,train
C1355,control,train
C376,control,train
C1133,control,train
C1611,control,train
C162,control,train
C1759,control,train
C1031,control,train
C888,control,train
C1748,control,train
C510,control,train
C666,control,train
C579,control,train
C28,control,train
C807,control,train
C1122,control,train
C1479,control,train
C1925,control,train
C42,control,train
C1188,control,train
C267,control,train
C1980,control,train
C228,control,train
C1693,control,train
C1370,control,train
C1364,control,train
C1035,control,train
C551,control,train
C1342,control,train
C635,control,train
C720,control,train
C174,control,train
C1210,control,train
C1839,control,train
C532,control,train
C1578,control,train
C1486,control,train
C164,control,train
C1143,control,train
C1589,control,train
C1070,control,train
C1653,control,train
C817,control,train
C1341,control,train
C293,control,train
C1028,control,train
C911,control,train
C1226,control,train
C687,control,train
C1349,control,train
C1891,control,train
C690,control,train
C751,control,train
C1087,control,train
C1483,control,train
C526,control,train
C1223,control,train
C1160,control,train
C1059,control,train
C1164,control,train
C649,control,train
C1019,control,train
C1478,control,train
C111,control,train
C609,control,train
C885,control,train
C414,control,train
C1439,control,train
C140,control,train
C622,control,train
C1343,control,train
C703,control,train
C1256,control,train
C1207,control,train
C286,control,train
C1108,control,train
C1846,control,train
C698,control,train
C1191,control,train
C1015,control,train
C167,control,train
C785,control,train
C1042,control,train
C1127,control,train
C1729,control,train
C945,control,train
C1097,control,train
C846,control,train
C1417,control,train
C1908,control,train
C1700,control,train
C541,control,train
C575,control,train
C1112,control,train
C270,control,train
C1345,control,train
C340,control,train
C1897,control,train
C857,control,train
C1966,control,train
C910,control,train
C534,control,train
C1947,control,train
C576,control,train
C176,control,train
C1247,control,train
C416,control,train
C1034,control,train
C1402,control,train
C1266,control,train
C1206,control,train
C1324,control,train
C218,control,train
C1959,control,train
C1952,control,train
C1375,control,train
C1373,control,train
C1393,control,train
C62,control,train
C797,control,train
C1329,control,train
C1287,control,train
C1322,control,train
C1983,control,train
C1291,control,train
C158,control,train
C449,control,train
C1101,control,train
C1159,control,train
C360,control,train
C597,control,train
C1742,control,train
C1696,control,train
C1652,control,train
C1337,control,train
C1690,control,train
C208,control,train
C244,control,train
C1103,control,train
C1503,control,train
C633,control,train
C380,control,train
C55,control,train
C1391,control,train
C855,control,train
C813,control,train
C704,control,train
C513,control,train
C1215,control,train
C1981,control,train
C1371,control,train
C662,control,train
C620,control,train
C1706,control,train
C29,control,train
C296,control,train
C1923,control,train
C617,control,train
C658,control,train
C1062,control,train
C1761,control,train
C528,control,train
C405,control,train
C1412,control,train
C940,control,train
C954,control,train
C225,control,train
C1299,control,train
C958,control,train
C264,control,train
C1632,control,train
C825,control,train
C557,control,train
C1515,control,train
C1544,control,train
C652,control,train
C673,control,train
C1671,control,train
C1998,control,train
C1389,control,train
C1169,control,train
C815,control,train
C1906,control,train
C1284,control,train
C1847,control,train
C1863,control,train
C553,control,train
C187,control,train
C561,control,train
C1557,control,train
C1464,control,train
C1331,control,train
C1803,control,train
C1205,control,train
C1531,control,train
C651,control,train
C368,control,train
C744,control,train
C185,control,train
C358,control,train
C481,control,train
C47,control,train
C1905,control,train
C1315,control,train
C531,control,train
C383,control,train
C1715,control,train
C1540,control,train
C75,control,train
C269,control,train
C748,control,train
C367,control,train
C1616,control,train
C1252,control,train
C1703,control,train
C841,control,train
C1383,control,train
C1896,control,train
C59,control,train
C373,control,train
C291,control,train
C881,control,train
C1725,control,train
