track_id,condition,frame,time_min,x_um,y_um
C01,control,0,0,35.786962735087236,127.98263314303091
C01,control,1,1,30.09798368629004,132.169948273357
C01,control,2,2,32.012867909074686,131.2938058176989
C01,control,3,3,31.077019924504157,132.20531192103536
C01,control,4,4,30.274039017891138,131.52758533754573
C01,control,5,5,32.434242477918474,133.07170095486703
C01,control,6,6,32.241858671015926,132.81527126530943
C01,control,7,7,32.72460763901286,130.97321608175272
C01,control,8,8,31.51335684504403,132.61799662237198
C01,control,9,9,31.121908465621438,128.4947180953418
C01,control,10,10,29.690072306721817,130.4645829112224
C01,control,11,11,28.993223990471982,130.01838448051345
C01,control,12,12,30.918733874985698,135.49221539525976
C01,control,13,13,28.779167859380834,139.53683583556204
C01,control,14,14,25.089129533361252,140.06176870378317
C01,control,15,15,21.580540974824093,144.11614325729573
C01,control,16,16,24.082309964978847,147.52929361126093
C01,control,17,17,21.42571050131236,149.58295868771512
C01,control,18,18,19.86867051182387,148.2108027542593
C01,control,19,19,21.38828175002006,150.84095727166542
C01,control,20,20,22.00154239623619,148.95699596863363
C01,control,21,21,19.52409283358716,153.28994704610935
C01,control,22,22,21.30593056572405,155.44913085539451
C01,control,23,23,27.856394993862544,153.00154200948754
C01,control,24,24,35.534768389080085,162.4542664101071
C01,control,25,25,40.39000774986048,164.93558600477283
C01,control,26,26,38.39854188518951,167.9190428882335
C01,control,27,27,37.07046543787899,167.8540905188638
C01,control,28,28,36.19916590570977,168.7055803883369
C01,control,29,29,40.06339905203994,167.0388282147374
C02,control,0,0,197.9472335169007,11.747043503116593
C02,control,1,1,195.04240153524705,7.453734551727527
C02,control,2,2,192.30359931042912,11.333531401270896
C02,control,3,3,190.5236634057121,12.104854374930039
C02,control,4,4,186.87298150744476,12.61380611463137
C02,control,5,5,181.6506371618561,10.517538422192324
C02,control,6,6,188.41425394324088,8.76862934926196
C02,control,7,7,191.774183099415,10.133791724625569
C02,control,8,8,191.3152257677408,8.177471260710721
C02,control,9,9,195.17595396298114,7.645320882502082
C02,control,10,10,199.7582273977964,5.488083792518971
C02,control,11,11,199.93024435997,6.884581172890359
C02,control,12,12,198.95027512094543,3.183176637343767
C02,control,13,13,196.9580869236165,2.5952359972453527
C02,control,14,14,194.39698899564377,4.627211323885476
C02,control,15,15,196.16104653972016,1.2440420386492974
C02,control,16,16,190.74528432590014,2.600647791810104
C02,control,17,17,191.09706291633935,8.70016538192652
C02,control,18,18,189.9499935649356,9.452117031575442
C02,control,19,19,186.76065845017672,6.311608383804409
C02,control,20,20,180.88897500610844,6.2265756406315935
C02,control,21,21,183.73062505457642,5.1564326793442286
C02,control,22,22,187.91998431451515,5.749997237664943
C02,control,23,23,187.81074685182548,7.301758915745509
C02,control,24,24,189.27287956117223,10.745178027388981
