track_id,condition,frame,time_min,x_um,y_um
C01,control,0,0,154.79120971119266,87.77568795041046
C01,control,1,1,157.04256329861204,90.5973820995841
C01,control,2,2,151.18945773265054,86.69084357899715
C01,control,3,3,151.5729789421524,85.7421158019664
C01,control,4,4,151.52257546963952,83.18298401924567
C01,control,5,5,154.160769394228,85.5163598255325
C01,control,6,6,154.35886148691165,88.8980834464366
C01,control,7,7,155.76138951366778,86.32020605778689
C01,control,8,8,156.8676418659153,83.44355825529989
C01,control,9,9,159.5029927698371,83.29378052234114
C01,control,10,10,158.94840567920133,81.25099188912931
C01,control,11,11,162.61602969522343,80.78740344292291
C01,control,12,12,161.33104622873412,79.73100279145822
C01,control,13,13,162.92797378539416,80.82733498455046
C01,control,14,14,164.16617162018213,82.11979799357411
C01,control,15,15,170.5911144227935,80.90055294442027
C01,control,16,16,169.0543862355789,78.45923475967663
C01,control,17,17,170.90232450330538,81.84615163783931
C01,control,18,18,170.56048213034074,79.32568220695173
C01,control,19,19,168.08703848326704,81.27746057042583
C01,control,20,20,170.31680099687736,82.90692337534142
C01,control,21,21,168.3202718750113,83.60340734454158
C01,control,22,22,168.67032930243346,84.25947313472862
C01,control,23,23,171.28461563627803,84.93025978105267
C01,control,24,24,173.32135632549372,85.13299698951934
C01,control,25,25,174.18871452156367,87.02686166703496
C01,control,26,26,169.81724706199668,86.06784801796306
C01,control,27,27,168.4061290991183,84.15121447323303
C01,control,28,28,167.58070234543823,88.63603840693621
C01,control,29,29,164.9832089983585,91.54087347071065
C02,control,0,0,113.04722129623777,152.9997714832051
C02,control,1,1,113.53548049155278,154.75843847728294
C02,control,2,2,115.66916023093134,157.13848018288272
C02,control,3,3,114.62298501418603,155.751424804889
C02,control,4,4,117.19691265795748,155.17751183024416
C02,control,5,5,113.36985368794372,151.7776501882337
C02,control,6,6,110.61149682993889,153.269132420395
C02,control,7,7,111.03877403815058,155.34058848259832
C02,control,8,8,109.75701609914097,155.81620755582847
C02,control,9,9,111.63378728104298,154.88816793666774
C02,control,10,10,113.00411299371522,152.9023901134678
C02,control,11,11,111.91495145402001,151.7571764314728
C02,control,12,12,108.32743251725289,153.21809387382956
C02,control,13,13,106.91922549664471,153.25557623001262
C02,control,14,14,108.36146547336244,154.59516975810246
C02,control,15,15,110.3576208002808,154.2997133045742
C02,control,16,16,109.08772586414834,154.060558671855
C02,control,17,17,104.02572256227425,149.71922125458573
C02,control,18,18,100.05762372521104,146.7274807717813
C02,control,19,19,101.25694640538136,144.01104360570113
C02,control,20,20,100.12245874326318,147.90872849905932
C02,control,21,21,99.0536668300789,150.12127520446057
C02,control,22,22,96.25281379004926,149.50496253085768
C02,control,23,23,93.40274762531752,148.487863303156
C02,control,24,24,95.9236720376897,143.30590203357895
C02,control,25,25,97.22694296832726,144.01910884057577
C02,control,26,26,95.44449310123689,139.6809352774104
C02,control,27,27,95.66088162437849,138.09245715021902
C02,control,28,28,96.3589102584426,138.15801358678934
C02,control,29,29,101.16424693240535,137.43994670437027
C03,control,0,0,16.88886422797782,83.16148043412193
C03,control,1,1,17.548854279893114,87.23904315984323
C03,control,2,2,20.05418801763685,88.30965633729176
C03,control,3,3,24.444096691295535,84.7433671743232
C03,control,4,4,22.524842093046292,81.96363935010662
C03,control,5,5,21.355412683578987,77.83358090743769
C03,control,6,6,23.2608655240222,77.16691281614138
C03,control,7,7,18.848446640514226,74.12017557251875
C03,control,8,8,19.788988182864813,76.6345552762019
C03,control,9,9,25.779180857940172,85.37614267422389
C03,control,10,10,27.022409157768163,82.4075283141283
C03,control,11,11,20.626270315574235,83.2106627011598
C03,control,12,12,18.18744702964326,81.96459092062075
C03,control,13,13,16.351156632463834,81.5422182613716
C03,control,14,14,19.549097324826764,82.01336396370763
C03,control,15,15,19.073192813710698,78.90640270523019
C03,control,16,16,14.049143979597627,77.4474789780102
C03,control,17,17,13.887796327142665,82.75126871874984
C03,control,18,18,14.278619891561322,85.69948725181901
C03,control,19,19,12.780733095943866,82.14465595256793
C03,control,20,20,9.88538280924675,79.96897775896068
C03,control,21,21,16.27079200655224,77.50481772128752
