track_id,condition,frame_start,frame_end,time_min_start,time_min_end,step_distance_um,step_speed_um_min,is_arrested
C01,control,0,1,0,1,3.609785429505031,3.609785429505031,False
C01,control,1,2,1,2,7.037036874929614,7.037036874929614,False
C01,control,2,3,2,3,1.0233146696141182,1.0233146696141182,True
C01,control,3,4,3,4,2.559628096300865,2.559628096300865,False
C01,control,4,5,4,5,3.522032060771212,3.522032060771212,False
C01,control,5,6,5,6,3.387520498146765,3.387520498146765,False
C01,control,6,7,6,7,2.934712370360662,2.934712370360662,False
C01,control,7,8,7,8,3.0820280411453806,3.0820280411453806,False
C01,control,8,9,8,9,2.63960371194083,2.63960371194083,False
C01,control,9,10,9,10,2.1167314995245152,2.1167314995245152,False
C01,control,10,11,10,11,3.696806753180123,3.696806753180123,False
C01,control,11,12,11,12,1.6634797400527273,1.6634797400527273,True
C01,control,12,13,12,13,1.9370394675459308,1.9370394675459308,True
C01,control,13,14,13,14,1.789858795483062,1.789858795483062,True
C01,control,14,15,14,15,6.539606143087974,6.539606143087974,False
C01,control,15,16,15,16,2.8847128107560125,2.8847128107560125,False
C01,control,16,17,16,17,3.8582485379911913,3.8582485379911913,False
C01,control,17,18,17,18,2.5435452345088914,2.5435452345088914,False
C01,control,18,19,18,19,3.1507716920422753,3.1507716920422753,False
C01,control,19,20,19,20,2.7617005449007714,2.7617005449007714,False
C01,control,20,21,20,21,2.114525585991366,2.114525585991366,False
C01,control,21,22,21,22,0.7436144992851995,0.7436144992851995,True
C01,control,22,23,22,23,2.698971611598234,2.698971611598234,False
C01,control,23,24,23,24,2.0468060510961137,2.0468060510961137,False
C01,control,24,25,24,25,2.083034722953763,2.083034722953763,False
C01,control,25,26,25,26,4.4754256701635935,4.4754256701635935,False
C01,control,26,27,26,27,2.3800710178359124,2.3800710178359124,False
C01,control,27,28,27,28,4.560150769657479,4.560150769657479,False
C01,control,28,29,28,29,3.8967984854052773,3.8967984854052773,False
C02,control,0,1,0,1,1.825186740546951,1.825186740546951,True
C02,control,1,2,1,2,3.196433598657868,3.196433598657868,False
C02,control,2,3,2,3,1.737355808622208,1.737355808622208,True
C02,control,3,4,3,4,2.6371347363827486,2.6371347363827486,False
C02,control,4,5,4,5,5.119124880756165,5.119124880756165,False
C02,control,5,6,5,6,3.135769730856388,3.135769730856388,False
C02,control,6,7,6,7,2.1150640723855205,2.1150640723855205,False
C02,control,7,8,7,8,1.3671565078784877,1.3671565078784877,True
C02,control,8,9,8,9,2.093687561206287,2.093687561206287,False
C02,control,9,10,9,10,2.4126968566157307,2.4126968566157307,False
C02,control,10,11,10,11,1.5804389380737853,1.5804389380737853,True
C02,control,11,12,11,12,3.8735735303521657,3.8735735303521657,False
C02,control,12,13,12,13,1.408705767687186,1.408705767687186,True
C02,control,13,14,13,14,1.9683919759394801,1.9683919759394801,True
C02,control,14,15,14,15,2.017902526168205,2.017902526168205,False
C02,control,15,16,15,16,1.2922182815476317,1.2922182815476317,True
C02,control,16,17,16,17,6.668664633850358,6.668664633850358,False
C02,control,17,18,17,18,4.969539163459039,4.969539163459039,False
C02,control,18,19,18,19,2.9694116872593734,2.9694116872593734,False
C02,control,19,20,19,20,4.059434663030186,4.059434663030186,False
C02,control,20,21,20,21,2.4571689150870473,2.4571689150870473,False
C02,control,21,22,21,22,2.867859665933255,2.867859665933255,False
C02,control,22,23,22,23,3.0261143372880155,3.0261143372880155,False
